Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
9/3/2023 10:02,User_123,Web_Browsing,-92 dBm,25 ms,0.8 Mbps,0.8 Mbps,70%
9/3/2023 10:06,User_359,Emergency_Service,-43 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:01,User_65,Video_Call,-69 dBm,26 ms,10.9 Mbps,12.4 Mbps,75%
9/3/2023 10:04,User_247,Emergency_Service,-51 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:03,User_204,Streaming,-86 dBm,37 ms,3.7 Mbps,4.2 Mbps,85%
9/3/2023 10:03,User_180,Streaming,-83 dBm,34 ms,4.0 Mbps,4.5 Mbps,85%
9/3/2023 10:05,User_316,Streaming,-100 dBm,51 ms,2.3 Mbps,2.8 Mbps,85%
9/3/2023 10:03,User_171,Online_Gaming,-69 dBm,19 ms,3.5 Mbps,3.8 Mbps,80%
9/3/2023 10:00,User_13,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,65%
9/3/2023 10:02,User_134,Streaming,-75 dBm,30 ms,5.0 Mbps,5.7 Mbps,85%
9/3/2023 10:03,User_208,Web_Browsing,-101 dBm,18 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:06,User_380,Streaming,-108 dBm,59 ms,1.5 Mbps,2.0 Mbps,85%
9/3/2023 10:00,User_47,Emergency_Service,-66 dBm,7 ms,1.1 Mbps,1.2 Mbps,70%
9/3/2023 10:06,User_387,Online_Gaming,-42 dBm,46 ms,6.2 Mbps,6.5 Mbps,80%
9/3/2023 10:05,User_308,Streaming,-99 dBm,50 ms,2.4 Mbps,2.9 Mbps,85%
9/3/2023 10:02,User_112,Online_Gaming,-72 dBm,21 ms,3.1 Mbps,3.4 Mbps,80%
9/3/2023 10:01,User_66,Streaming,-79 dBm,34 ms,4.3 Mbps,4.9 Mbps,85%
9/3/2023 10:00,User_9,Video_Streaming,-82 dBm,35 ms,3 Mbps,3.5 Mbps,80%
9/3/2023 10:05,User_320,Web_Browsing,-107 dBm,4 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_339,Online_Gaming,-48 dBm,40 ms,5.6 Mbps,5.9 Mbps,80%
9/3/2023 10:03,User_179,Online_Gaming,-68 dBm,20 ms,3.6 Mbps,3.9 Mbps,80%
9/3/2023 10:05,User_331,Online_Gaming,-49 dBm,39 ms,5.5 Mbps,5.8 Mbps,80%
9/3/2023 10:06,User_383,Emergency_Service,-41 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:02,User_148,Online_Gaming,-71 dBm,19 ms,3.3 Mbps,3.6 Mbps,80%
9/3/2023 10:01,User_109,Video_Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%
9/3/2023 10:06,User_374,Video_Streaming,-110 dBm,55 ms,1.3 Mbps,1.7 Mbps,70%
9/3/2023 10:06,User_379,Online_Gaming,-43 dBm,45 ms,6.1 Mbps,6.4 Mbps,80%
9/3/2023 10:02,User_158,Video_Streaming,-83 dBm,31 ms,4.0 Mbps,4.4 Mbps,70%
9/3/2023 10:01,User_86,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%
9/3/2023 10:04,User_283,Online_Gaming,-55 dBm,33 ms,4.9 Mbps,5.2 Mbps,80%
9/3/2023 10:01,User_61,Video_Call,-81 dBm,29 ms,10.3 Mbps,12.1 Mbps,70%
9/3/2023 10:01,User_81,Video_Call,-83 dBm,27 ms,10.8 Mbps,12.0 Mbps,70%
9/3/2023 10:06,User_391,Emergency_Service,-40 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:02,User_168,Web_Browsing,-97 dBm,23 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:01,User_85,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.8 Mbps,75%
9/3/2023 10:04,User_232,Web_Browsing,-102 dBm,15 ms,0.3 Mbps,0.3 Mbps,70%
9/3/2023 10:06,User_388,Streaming,-109 dBm,60 ms,1.4 Mbps,1.9 Mbps,85%
9/3/2023 10:02,User_164,Streaming,-81 dBm,32 ms,4.2 Mbps,4.7 Mbps,85%
9/3/2023 10:03,User_224,Web_Browsing,-102 dBm,16 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:01,User_91,Video_Call,-84 dBm,26 ms,10.9 Mbps,12.1 Mbps,70%
9/3/2023 10:03,User_207,Emergency_Service,-54 dBm,5 ms,0.6 Mbps,0.7 Mbps,70%
9/3/2023 10:01,User_95,Video_Call,-66 dBm,23 ms,11.4 Mbps,12.7 Mbps,75%
9/3/2023 10:06,User_372,Streaming,-107 dBm,58 ms,1.6 Mbps,2.1 Mbps,85%
9/3/2023 10:03,User_223,Emergency_Service,-53 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:04,User_254,Video_Streaming,-95 dBm,40 ms,2.8 Mbps,3.2 Mbps,70%
9/3/2023 10:00,User_43,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,70%
9/3/2023 10:00,User_32,Online_Gaming,-79 dBm,24 ms,2.3 Mbps,2.6 Mbps,80%
9/3/2023 10:00,User_35,Video_Call,-72 dBm,27 ms,10.8 Mbps,12.8 Mbps,75%
9/3/2023 10:06,User_381,Video_Call,-41 dBm,51 ms,14.3 Mbps,15.6 Mbps,75%
9/3/2023 10:03,User_172,Streaming,-82 dBm,33 ms,4.1 Mbps,4.6 Mbps,85%
